,0
deg6,2.107320784252571e-12
deg4,1.4740096835378163e-07
deg3,-1.0283631089627632e-05
deg5,-8.593572936163673e-10
deg0,20.579777493275714
deg7,-1.8579805097092982e-15
deg1,-0.041030763828132207
deg2,0.0006493691024852091
